冊別,章節,課程編號,課程名稱,時長,狀態,備註,完成日期
=== 第三冊 ===,,,,,,,
,第一章 三角函數,,,,,,
,,1-1_主題1,弧度量(A+B版),40:39,已完成,基礎概念,
,,1-1_主題2,扇形弧長與面積(A+B版),15:20,已完成,應用計算,
,,1-1_主題3,三角函數的圖形(A+B版),01:12:32,已完成,圖形分析,
,,1-1_主題4,三角方程式(A+B版),23:55,進行中,方程求解,
,,1-1_主題5,三角不等式(A+B版),14:26,未開始,不等式解法,
,,1-1_主題6,三角函數的極值(A+B版),03:37,未開始,極值問題,
,,1-1_主題7,三角函數的應用(A+B版),13:39,未開始,實際應用,
,,1-2_主題1,和差角公式(A版),01:19:38,未開始,公式推導,
,,1-2_主題2,平方差(課外補充)(A版),06:08,未開始,補充內容,
,,1-2_主題3,正切的和差角(A版),27:06,未開始,正切公式,
,,1-2_主題4,二倍角(A版),28:12,未開始,倍角公式,
,,1-2_主題5,二倍角(A版),21:51,未開始,延續內容,
,,1-2_主題6,半角公式(A版),26:03,未開始,半角推導,
,,1-3_主題1,正餘弦的疊合(A版),40:16,未開始,函數疊合,
,,1-3_主題2,正餘弦疊合的極值(A版),44:27,未開始,極值計算,
,,1-3_主題3,正餘弦疊合的應用問題(A版),28:05,未開始,應用題型,
,第二章 指數與對數函數,,,,,,
,,2-1_主題1,指數函數的圖形(A+B版),42:24,未開始,圖形性質,
,,2-1_主題2,指數比大小(A+B版),09:01,未開始,大小比較,
,,2-1_主題3,指數方程式與不等式(A+B版),09:01,未開始,方程不等式,
,,2-1_主題4,指數函數的極值(A+B版),11:03,未開始,極值問題,
,,2-1_主題5,指數函數的應用(A+B版),08:15,未開始,實際應用,
,,2-2_主題1,對數的定義(A+B版),14:32,未開始,基本定義,
,,2-2_主題2,對數律(A+B版),01:04:23,未開始,對數運算律,
,,2-2_主題3,對數方程(A+B版),21:12,未開始,方程求解,
,,2-2_主題4,科學記號與常用對數(A+B版),24:07,未開始,科學應用,
