項目,數值,公式,說明
第三冊 總體統計,,,
總課程數,47,=COUNTA(主要檔案.C:C)-4,計算課程編號欄位非空值
已完成課程,5,"=COUNTIF(主要檔案.F:F,""已完成"")",統計已完成的課程數
進行中課程,1,"=COUNTIF(主要檔案.F:F,""進行中"")",統計進行中的課程數
未開始課程,41,"=COUNTIF(主要檔案.F:F,""未開始"")",統計未開始的課程數
完成率,10.6%,"=ROUND(C3/C2*100,1)&""%""",已完成課程/總課程數*100
總學習時間,19h10m,,所有課程的總時長
已學習時間,3h7m,,已完成課程的總時長
剩餘時間,16h3m,,未完成課程的總時長
,,,
第三冊 各章節統計,,,
第一章 三角函數,,,
  總課程數,16,,
  已完成,3,,
  進行中,1,,
  未開始,12,,
  完成率,18.8%,,
  總時長,8h5m,,
,,,
第二章 指數與對數函數,,,
  總課程數,14,,
  已完成,1,,
  進行中,0,,
  未開始,13,,
  完成率,7.1%,,
  總時長,5h26m,,
,,,
第三章 平面向量,,,
  總課程數,17,,
  已完成,1,,
  進行中,0,,
  未開始,16,,
  完成率,5.9%,,
  總時長,5h38m,,
,,,
