項目,數值,公式,說明
第四冊 總體統計,,,
總課程數,36,=COUNTA(主要檔案.C:C)-5,計算課程編號欄位非空值
已完成課程,0,"=COUNTIF(主要檔案.F:F,""已完成"")",統計已完成的課程數
進行中課程,0,"=COUNTIF(主要檔案.F:F,""進行中"")",統計進行中的課程數
未開始課程,36,"=COUNTIF(主要檔案.F:F,""未開始"")",統計未開始的課程數
完成率,0.0%,"=ROUND(C3/C2*100,1)&""%""",已完成課程/總課程數*100
總學習時間,13h6m,,所有課程的總時長
已學習時間,0h0m,,已完成課程的總時長
剩餘時間,13h6m,,未完成課程的總時長
,,,
第四冊 各章節統計,,,
第一章 空間向量,,,
  總課程數,15,,
  已完成,0,,
  進行中,0,,
  未開始,15,,
  完成率,0.0%,,
  總時長,4h33m,,
,,,
第二章 空間的平面與直線(A版),,,
  總課程數,8,,
  已完成,0,,
  進行中,0,,
  未開始,8,,
  完成率,0.0%,,
  總時長,3h10m,,
,,,
第三章 條件機率(A+B版),,,
  總課程數,3,,
  已完成,0,,
  進行中,0,,
  未開始,3,,
  完成率,0.0%,,
  總時長,1h21m,,
,,,
第四章 矩陣,,,
  總課程數,10,,
  已完成,0,,
  進行中,0,,
  未開始,10,,
  完成率,0.0%,,
  總時長,4h0m,,
,,,
